arm,work,temp,rep,wall_s,prompt_n,predicted_n,predicted_per_second,draft_n,draft_n_accepted,accept_rate,eff_tps
hr-ctl-n32-d0-a,new,0.0,1,21.74,51,512,24.5,636,356,0.56,24.55
hr-n36-d1-a,rep,1.0,1,57.3,1055,1016,35.53,1093,975,0.892,35.57
hr-n36-d1-a,rep,0.0,1,20.82,1055,1016,59.81,1086,997,0.918,59.86
hr-n36-d1-a,new,1.0,1,18.29,51,512,29.69,463,356,0.769,29.75
hr-n36-d1-a,new,0.0,1,18.48,51,512,28.97,612,365,0.596,29.02
hr-n36-d1-b,rep,1.0,1,54.58,1055,1016,35.91,1093,975,0.892,35.94
hr-n36-d1-b,rep,0.0,1,20.67,1055,1016,59.95,1086,997,0.918,60.01
hr-n36-d1-b,new,1.0,1,18.39,51,512,29.57,463,355,0.767,29.63
hr-n36-d1-b,new,0.0,1,19.82,51,512,26.92,679,362,0.533,26.98
hr-ctl-n32-d0-b,rep,1.0,1,54.02,1055,1016,37.74,1093,975,0.892,37.78
hr-ctl-n32-d0-b,rep,0.0,1,24.08,1055,1016,53.48,1086,997,0.918,53.53
hr-ctl-n32-d0-b,new,1.0,1,19.39,51,512,27.84,494,346,0.7,27.89
hr-ctl-n32-d0-b,new,0.0,1,17.97,51,512,29.89,500,363,0.726,29.95
f262-ctl-a,rep,1.0,1,52.53,1055,1016,39.62,1040,924,0.888,39.66
f262-ctl-a,rep,0.0,1,19.76,1055,1016,64.51,1086,995,0.916,64.58
f262-ctl-a,new,1.0,1,19.26,51,512,27.88,,,,27.93
f262-ctl-a,new,0.0,1,19.35,51,512,27.41,192,43,0.224,27.46
f262-n36-a,rep,1.0,1,56.6,1055,1016,36.81,1093,975,0.892,36.85
f262-n36-a,rep,0.0,1,22.22,1055,1016,58.85,1086,997,0.918,58.91
f262-n36-a,new,1.0,1,18.27,51,512,29.73,472,353,0.748,29.79
f262-n36-a,new,0.0,1,18.44,51,512,29.02,640,374,0.584,29.08
f262-n38-a,rep,1.0,1,61.62,1055,1016,34.54,1093,975,0.892,34.57
f262-n38-a,rep,0.0,1,22.54,1055,1016,57.95,1086,997,0.918,58.01
f262-n38-a,new,1.0,1,18.29,51,512,29.89,480,351,0.731,29.94
f262-n38-a,new,0.0,1,18.65,51,512,28.74,630,358,0.568,28.8
f262-n36-b,rep,1.0,1,55.91,1055,1016,36.51,1093,975,0.892,36.55
f262-n36-b,rep,0.0,1,21.55,1055,1016,60.38,1086,997,0.918,60.44
f262-n36-b,new,1.0,1,18.02,51,512,30.15,465,356,0.766,30.21
f262-n36-b,new,0.0,1,17.94,51,512,29.9,572,358,0.626,29.96
f262-ctl-b,rep,1.0,1,47.12,1055,1016,41.2,1040,924,0.888,41.24
f262-ctl-b,rep,0.0,1,19.98,1055,1016,63.22,1086,995,0.916,63.28
f262-ctl-b,new,1.0,1,19.71,51,512,27.28,,,,27.33
f262-ctl-b,new,0.0,1,19.3,51,512,27.49,192,43,0.224,27.54
