"id","ncmoe","ts","ub","cache","result","g0_base","g0_peak","g0_total","g1_base","g1_peak","g1_total","fail_device","fail_mib"
"MTP262-n32-ts31_17-ub512-c64","32","31,17","512","64","BOOT-OK","799","11674","12282","0","14540","16311","",""
"MTP262-n32-ts32_16-ub512-c64","32","32,16","512","64","FAIL","308","11734","12282","0","13796","16311","0","873.28"
"MTP262-n34-ts31_17-ub512-c64","34","31,17","512","64","BOOT-OK","346","11881","12282","0","13358","16311","",""
"MTP262-n34-ts32_16-ub512-c64","34","32,16","512","64","FAIL","465","11265","12282","0","13202","16311","0","873.28"
